#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 01 35 240  3.1  4.1    MM    MM    MM  MM 1007.1   3.5    MM  -4.4   MM   MM    MM
2023 09 28 01 25 220  3.1  3.6    MM    MM    MM  MM 1007.1   3.7    MM  -4.7   MM   MM    MM
2023 09 28 01 14 230  3.1  3.6    MM    MM    MM  MM 1007.0   3.7    MM  -4.8   MM   MM    MM
2023 09 28 01 04 240  3.6  4.1    MM    MM    MM  MM 1007.0   3.7    MM  -4.9   MM   MM    MM
2023 09 28 00 54 230  3.1  3.6    MM    MM    MM  MM 1006.9   3.7    MM  -4.8   MM   MM    MM
2023 09 28 00 44 230  3.1  3.6    MM    MM    MM  MM 1006.9   3.6    MM  -4.0   MM   MM    MM
2023 09 28 00 34 230  3.1  3.6    MM    MM    MM  MM 1006.9   3.6    MM  -3.8   MM   MM    MM
2023 09 28 00 24 230  3.1  3.6    MM    MM    MM  MM 1006.8   3.8    MM  -4.0   MM   MM    MM
2023 09 28 00 14 230  3.1  3.6    MM    MM    MM  MM 1006.8   3.6    MM  -4.5   MM   MM    MM
2023 09 27 23 54 230  3.1  3.6    MM    MM    MM  MM 1006.7   3.6    MM  -4.9   MM   MM    MM
2023 09 27 23 44 230  2.6  4.1    MM    MM    MM  MM 1006.8   3.7    MM  -4.2   MM   MM    MM
2023 09 27 23 34 230  2.6  3.6    MM    MM    MM  MM 1006.8   3.5    MM  -3.5   MM   MM    MM
2023 09 27 23 24 230  2.6  3.6    MM    MM    MM  MM 1006.7   3.4    MM  -3.4   MM   MM    MM
2023 09 27 23 14 230  2.6  3.6    MM    MM    MM  MM 1006.7   3.4    MM  -3.4   MM   MM    MM
2023 09 27 23 04 240  2.1  3.1    MM    MM    MM  MM 1006.6   3.2    MM  -2.9   MM   MM    MM
2023 09 27 22 54 230  2.1  3.1    MM    MM    MM  MM 1006.6   3.1    MM  -2.3   MM   MM    MM
2023 09 27 22 44 220  2.6  3.1    MM    MM    MM  MM 1006.6   2.9    MM  -2.5   MM   MM    MM
2023 09 27 22 34 220  2.6  3.1    MM    MM    MM  MM 1006.6   2.8    MM  -2.0   MM   MM    MM
2023 09 27 22 24 220  2.6  3.1    MM    MM    MM  MM 1006.6   2.5    MM  -1.7   MM   MM    MM
2023 09 27 22 14 220  2.6  3.1    MM    MM    MM  MM 1006.6   2.2    MM  -1.7   MM   MM    MM
2023 09 27 22 04 210  2.6  3.1    MM    MM    MM  MM 1006.6   1.9    MM  -1.1   MM   MM    MM
2023 09 27 21 54 220  2.6  3.1    MM    MM    MM  MM 1006.6   1.5    MM  -1.0   MM   MM    MM
2023 09 27 21 44 220  2.6  3.1    MM    MM    MM  MM 1006.6   1.2    MM  -1.1   MM   MM    MM
2023 09 27 21 34 220  2.6  3.1    MM    MM    MM  MM 1006.6   0.9    MM  -1.3   MM   MM    MM
2023 09 27 21 24 210  2.6  3.1    MM    MM    MM  MM 1006.6   0.5    MM  -1.5   MM   MM    MM
2023 09 27 21 14 210  2.1  3.1    MM    MM    MM  MM 1006.6   0.1    MM  -1.6   MM   MM    MM
2023 09 27 21 04 210  2.6  3.1    MM    MM    MM  MM 1006.6  -0.3    MM  -1.6   MM   MM    MM
2023 09 27 20 54 210  2.6  3.1    MM    MM    MM  MM 1006.6  -0.7    MM  -1.7   MM   MM    MM
2023 09 27 20 44 220  2.6  3.6    MM    MM    MM  MM 1006.6  -0.7    MM  -1.9   MM   MM    MM
2023 09 27 20 34 220  2.6  3.6    MM    MM    MM  MM 1006.5  -0.8    MM  -1.9   MM   MM    MM
2023 09 27 20 24 210  2.1  2.6    MM    MM    MM  MM 1006.5  -0.9    MM  -1.8   MM   MM    MM
