#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 24 20 00  MM   MM   MM    MM    MM    MM  MM 1014.5  27.6    MM  21.4   MM -1.2    MM
2023 09 24 19 00  MM   MM   MM    MM    MM    MM  MM 1014.7  27.3    MM  22.5   MM -1.6    MM
2023 09 24 18 00  MM   MM   MM    MM    MM    MM  MM 1015.0  27.8    MM  21.0   MM -1.4    MM
2023 09 24 17 00  MM   MM   MM    MM    MM    MM  MM 1015.7  27.9    MM  21.3   MM -0.3    MM
2023 09 24 16 00  MM   MM   MM    MM    MM    MM  MM 1016.3  27.2    MM  19.7   MM +0.8    MM
2023 09 24 15 00  MM   MM   MM    MM    MM    MM  MM 1016.4  28.4    MM  23.0   MM +1.6    MM
2023 09 24 14 00  MM   MM   MM    MM    MM    MM  MM 1016.0  28.6    MM  21.9   MM +1.5    MM
2023 09 24 13 00  MM   MM   MM    MM    MM    MM  MM 1015.5  24.2    MM  19.4   MM +2.1    MM
2023 09 24 12 00  MM   MM   MM    MM    MM    MM  MM 1014.8  20.9    MM  19.5   MM +2.2    MM
2023 09 24 11 00  MM   MM   MM    MM    MM    MM  MM 1014.5  19.8    MM  19.2   MM +1.7    MM
2023 09 24 10 00  MM   MM   MM    MM    MM    MM  MM 1013.4  19.7    MM  19.2   MM +0.6    MM
2023 09 24 09 00  MM   MM   MM    MM    MM    MM  MM 1012.6  19.7    MM  19.0   MM -0.7    MM
2023 09 24 08 00  MM   MM   MM    MM    MM    MM  MM 1012.8  21.5    MM  20.5   MM -0.9    MM
2023 09 24 07 00  MM   MM   MM    MM    MM    MM  MM 1012.8  25.4    MM  21.0   MM -1.1    MM
2023 09 24 06 00  MM   MM   MM    MM    MM    MM  MM 1013.3  26.6    MM  19.8   MM -0.7    MM
2023 09 24 05 00  MM   MM   MM    MM    MM    MM  MM 1013.7  26.6    MM  19.6   MM +0.0    MM
2023 09 24 04 00  MM   MM   MM    MM    MM    MM  MM 1013.9  25.1    MM  18.9   MM +0.8    MM
2023 09 24 03 00  MM   MM   MM    MM    MM    MM  MM 1014.0  22.7    MM  20.7   MM +1.3    MM
2023 09 24 02 00  MM   MM   MM    MM    MM    MM  MM 1013.5  23.3    MM  20.9   MM +1.2    MM
2023 09 24 01 00  MM   MM   MM    MM    MM    MM  MM 1013.1  26.7    MM  17.7   MM +0.8    MM
2023 09 24 00 00  MM   MM   MM    MM    MM    MM  MM 1012.7  26.7    MM  18.3   MM +0.7    MM
2023 09 23 23 00  MM   MM   MM    MM    MM    MM  MM 1012.3  27.0    MM  17.6   MM -0.0    MM
2023 09 23 22 00  MM   MM   MM    MM    MM    MM  MM 1012.3  27.1    MM  17.5   MM -0.8    MM
2023 09 23 21 00  MM   MM   MM    MM    MM    MM  MM 1012.0  26.8    MM  18.1   MM -2.0    MM
2023 09 23 20 00  MM   MM   MM    MM    MM    MM  MM 1012.4  26.4    MM  18.2   MM -2.3    MM
2023 09 23 19 00  MM   MM   MM    MM    MM    MM  MM 1013.1  26.4    MM  17.8   MM -2.3    MM
2023 09 23 18 00  MM   MM   MM    MM    MM    MM  MM 1014.0  26.2    MM  16.8   MM -1.7    MM
2023 09 23 17 00  MM   MM   MM    MM    MM    MM  MM 1014.7  26.0    MM  16.3   MM -1.0    MM
2023 09 23 16 00  MM   MM   MM    MM    MM    MM  MM 1015.4  25.5    MM  16.6   MM +0.0    MM
2023 09 23 15 00  MM   MM   MM    MM    MM    MM  MM 1015.7  27.4    MM  15.0   MM +0.7    MM
2023 09 23 14 00  MM   MM   MM    MM    MM    MM  MM 1015.7  26.6    MM  14.9   MM +1.2    MM
2023 09 23 13 00  MM   MM   MM    MM    MM    MM  MM 1015.6  23.5    MM  16.9   MM +1.9    MM
2023 09 23 12 00  MM   MM   MM    MM    MM    MM  MM 1015.0  19.9    MM  17.7   MM +1.3    MM
2023 09 23 11 00  MM   MM   MM    MM    MM    MM  MM 1014.5  17.9    MM  16.4   MM +0.5    MM
2023 09 23 10 00  MM   MM   MM    MM    MM    MM  MM 1013.7  18.1    MM  16.7   MM -0.7    MM
2023 09 23 09 00  MM   MM   MM    MM    MM    MM  MM 1013.7  18.4    MM  16.9   MM -1.2    MM
2023 09 23 08 00  MM   MM   MM    MM    MM    MM  MM 1014.0  19.2    MM  17.3   MM -1.1    MM
2023 09 23 07 00  MM   MM   MM    MM    MM    MM  MM 1014.4  19.6    MM  17.4   MM -0.9    MM
2023 09 23 06 00  MM   MM   MM    MM    MM    MM  MM 1014.9  19.9    MM  17.1   MM -0.4    MM
2023 09 23 05 00  MM   MM   MM    MM    MM    MM  MM 1015.1  20.5    MM  17.0   MM +0.0    MM
2023 09 23 04 00  MM   MM   MM    MM    MM    MM  MM 1015.3  21.4    MM  16.9   MM +0.7    MM
2023 09 23 03 00  MM   MM   MM    MM    MM    MM  MM 1015.3  22.8    MM  16.6   MM +1.2    MM
2023 09 23 02 00  MM   MM   MM    MM    MM    MM  MM 1015.0  23.5    MM  16.9   MM +1.0    MM
2023 09 23 01 00  MM   MM   MM    MM    MM    MM  MM 1014.6  24.6    MM  16.5   MM +0.7    MM
2023 09 23 00 00  MM   MM   MM    MM    MM    MM  MM 1014.1  26.2    MM  15.8   MM +0.0    MM
2023 09 22 23 00  MM   MM   MM    MM    MM    MM  MM 1014.0  29.0    MM  15.2   MM +0.0    MM
2023 09 22 22 00  MM   MM   MM    MM    MM    MM  MM 1013.9  30.1    MM  14.4   MM -0.5    MM
