#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 21 10  MM   MM   MM   2.0     7   6.3  98     MM    MM    MM    MM   MM   MM    MM
2023 09 28 02 30  80  8.0  9.0    MM    MM    MM  MM 1017.8  25.7  26.3  21.0   MM   MM    MM
2023 09 28 02 20  80  8.0 10.0   2.0    11   6.3  22 1017.8  25.7  26.3  20.9   MM   MM    MM
2023 09 28 02 10  80  8.0 10.0   2.0    MM   6.3  22 1017.7  25.6  26.3  21.0   MM   MM    MM
2023 09 28 02 00  70  7.0  9.0    MM    MM    MM  MM 1017.7  25.6  26.3  21.6   MM -1.2    MM
2023 09 28 01 50  70  7.0  9.0   1.9     8   6.1 106 1017.7  25.5  26.3  21.6   MM   MM    MM
2023 09 28 01 40  70  6.0  8.0    MM    MM    MM  MM 1017.8  25.4  26.3  21.4   MM   MM    MM
2023 09 28 01 30  70  6.0  8.0    MM    MM    MM  MM 1017.9  25.4  26.3  21.5   MM   MM    MM
2023 09 28 01 20  70  6.0  7.0   1.9     6   6.1 100 1018.0  25.4  26.3  21.3   MM   MM    MM
2023 09 28 01 10  70  6.0  7.0   1.9    MM   6.1 100 1018.0  25.4  26.3  21.3   MM   MM    MM
2023 09 28 01 00  70  6.0  8.0    MM    MM    MM  MM 1018.0  25.5  26.3  21.2   MM -1.5    MM
2023 09 28 00 50  80  6.0  8.0   2.0     8   6.3  88 1018.0  25.5  26.3  21.0   MM   MM    MM
2023 09 28 00 40  80  6.0  7.0   2.0    MM   6.3  88 1018.1  25.5  26.3  21.0   MM   MM    MM
2023 09 28 00 30  80  6.0  7.0    MM    MM    MM  MM 1018.2  25.5  26.3  20.9   MM   MM    MM
2023 09 28 00 20  80  6.0  8.0   2.1     7   6.2 107 1018.2  25.4  26.3  20.9   MM   MM    MM
2023 09 28 00 10  80  6.0  8.0   2.1    MM   6.2 107 1018.3  25.5  26.3  21.0   MM   MM    MM
2023 09 28 00 00  80  6.0  8.0    MM    MM    MM  MM 1018.4  25.3  26.3  20.9   MM -1.5    MM
2023 09 27 23 50  80  7.0  8.0   2.0     6   6.1 105 1018.4  25.4  26.3  21.0   MM   MM    MM
2023 09 27 23 40  70  7.0  8.0    MM    MM    MM  MM 1018.5  25.4  26.3  20.9   MM   MM    MM
2023 09 27 23 20  70  7.0  9.0   2.0    11   6.2  13 1018.7  25.5  26.3  20.9   MM   MM    MM
2023 09 27 23 10  80  7.0  8.0   2.0    MM   6.2  13 1018.8  25.6  26.2  20.8   MM   MM    MM
2023 09 27 23 00  80  7.0  9.0    MM    MM    MM  MM 1018.9  25.6  26.2  20.8   MM -1.1    MM
2023 09 27 22 50  80  7.0  9.0   2.0     7   5.9 108 1019.0  25.6  26.2  20.8   MM   MM    MM
2023 09 27 22 40  80  7.0  8.0    MM    MM    MM  MM 1019.1  25.7  26.2  20.9   MM   MM    MM
2023 09 27 22 30  90  7.0  9.0    MM    MM    MM  MM 1019.2  25.8  26.2  20.6   MM   MM    MM
2023 09 27 22 20  90  7.0  9.0   2.0    11   6.1   0 1019.4  25.8  26.2  20.2   MM   MM    MM
2023 09 27 22 10 100  7.0  9.0    MM    MM    MM  MM 1019.4  25.7  26.2  20.4   MM   MM    MM
2023 09 27 22 00  90  7.0  9.0    MM    MM    MM  MM 1019.5  25.6  26.2  20.6   MM -0.6    MM
2023 09 27 21 50  90  7.0  9.0   2.0     7   5.9 103 1019.7  25.3  26.2  20.9   MM   MM    MM
2023 09 27 21 40 110  9.0 14.0    MM    MM    MM  MM 1019.8  25.2  26.2  20.9   MM   MM    MM
2023 09 27 21 30 100  8.0 10.0    MM    MM    MM  MM 1019.7  25.9  26.2  20.5   MM   MM    MM
2023 09 27 21 20 100  8.0  9.0   1.9     7   5.9 114 1019.7  25.9  26.2  21.0   MM   MM    MM
2023 09 27 21 10 100  8.0 10.0   1.9    MM   5.9 114 1019.8  25.8  26.2  21.1   MM   MM    MM
2023 09 27 21 00 100  7.0 10.0    MM    MM    MM  MM 1019.9  25.7  26.2  21.3   MM +0.3    MM
2023 09 27 20 50 100  8.0 10.0   2.0     7   5.9  98 1019.9  25.7  26.2  21.1   MM   MM    MM
2023 09 27 20 40 100  8.0 10.0    MM    MM    MM  MM 1019.9  25.7  26.2  20.8   MM   MM    MM
2023 09 27 20 30 100  8.0 10.0    MM    MM    MM  MM 1019.9  25.7  26.2  20.7   MM   MM    MM
2023 09 27 20 20 100  8.0 10.0   2.1     7   5.7 105 1019.9  25.7  26.2  21.1   MM   MM    MM
2023 09 27 20 10 100  8.0 10.0   2.1    MM   5.7 105 1019.9  25.7  26.2  21.2   MM   MM    MM
2023 09 27 20 00 100  8.0 10.0    MM    MM    MM  MM 1020.0  25.6  26.2  21.2   MM +0.8    MM
2023 09 27 19 50 110  9.0 11.0   2.0     7   6.0 111 1020.0  25.6  26.2  20.8   MM   MM    MM
2023 09 27 19 40 100  9.0 11.0    MM    MM    MM  MM 1020.1  25.5  26.2  21.1   MM   MM    MM
2023 09 27 19 30 100  8.0 10.0    MM    MM    MM  MM 1020.1  25.5  26.2  21.6   MM   MM    MM
2023 09 27 19 20 100  8.0 10.0   2.0     9   6.1  39 1020.1  25.4  26.2  21.4   MM   MM    MM
2023 09 27 19 10 100  8.0 10.0   2.0    MM   6.1  39 1020.1  25.3  26.2  21.4   MM   MM    MM
2023 09 27 19 00 100  7.0  9.0    MM    MM    MM  MM 1020.1  25.3  26.2  21.6   MM +1.5    MM
2023 09 27 18 50 110  7.0  9.0   2.0     7   6.1 102 1020.1  25.1  26.2  21.5   MM   MM    MM
2023 09 27 18 40 110  7.0  9.0   2.0    MM   6.1 102 1020.0  25.1  26.2  21.5   MM   MM    MM
2023 09 27 18 30 110  8.0 10.0    MM    MM    MM  MM 1019.9  25.2  26.2  21.5   MM   MM    MM
2023 09 27 18 20 100  9.0 12.0   2.0    10   6.0   1 1019.9  25.4  26.2  21.0   MM   MM    MM
2023 09 27 18 10 100  9.0 12.0   2.0    MM   6.0   1 1019.7  25.6  26.2  20.9   MM   MM    MM
2023 09 27 18 00 100  8.0 10.0    MM    MM    MM  MM 1019.6  25.5  26.2  20.7   MM +1.4    MM
2023 09 27 17 50 100  7.0 10.0   1.7     9   5.8  61 1019.5  25.4  26.2  21.5   MM   MM    MM
2023 09 27 17 40 100  6.0  8.0    MM    MM    MM  MM 1019.5  25.1  26.2  21.6   MM   MM    MM
2023 09 27 17 30 100  5.0  7.0    MM    MM    MM  MM 1019.4  25.0  26.2  21.5   MM   MM    MM
2023 09 27 17 20 100  6.0  8.0   2.0     9   6.0  35 1019.3  24.9  26.2  21.3   MM   MM    MM
2023 09 27 17 10 100  6.0  8.0   2.0    MM   6.0  35 1019.2  24.9  26.2  21.2   MM   MM    MM
2023 09 27 17 00 100  6.0  8.0    MM    MM    MM  MM 1019.2  24.9  26.2  21.0   MM +1.2    MM
2023 09 27 16 50 100  7.0  9.0   2.1     7   6.0 117 1019.1  24.9  26.2  20.9   MM   MM    MM
2023 09 27 16 40 100  7.0 10.0    MM    MM    MM  MM 1019.1  24.8  26.2  20.8   MM   MM    MM
2023 09 27 16 30 110  7.0  9.0    MM    MM    MM  MM 1019.0  24.7  26.2  21.0   MM   MM    MM
2023 09 27 16 20 110  7.0  9.0   2.0     8   5.8  27 1018.8  24.5  26.2  21.0   MM   MM    MM
2023 09 27 16 10 110  7.0  9.0   2.0    MM   5.8  27 1018.7  24.0  26.2  21.2   MM   MM    MM
2023 09 27 16 00 110  8.0 10.0    MM    MM    MM  MM 1018.6  24.0  26.2  21.6   MM +0.5    MM
2023 09 27 15 50 110  9.0 11.0   1.9    11   6.0  36 1018.5  24.3  26.2  21.8   MM   MM    MM
2023 09 27 15 40  90  8.0 11.0   1.9    MM   6.0  36 1018.6  24.7  26.2  21.6   MM   MM    MM
2023 09 27 15 30  70  7.0  9.0    MM    MM    MM  MM 1018.6  24.0  26.2  21.6   MM   MM    MM
2023 09 27 15 20  70  9.0 13.0   1.9     8   6.0  99 1018.5  24.1  26.2  21.6   MM   MM    MM
2023 09 27 15 10  70  8.0 11.0   1.9    MM   6.0  99 1018.3  24.9  26.2  21.3   MM   MM    MM
2023 09 27 15 00  80  7.0  9.0    MM    MM    MM  MM 1018.2  25.1  26.2  21.2   MM -0.4    MM
2023 09 27 14 50  80  7.0  9.0   1.9    11   6.1   5 1018.2  25.2  26.2  21.2   MM   MM    MM
2023 09 27 14 40  80  7.0  9.0    MM    MM    MM  MM 1018.1  25.1  26.2  20.8   MM   MM    MM
2023 09 27 14 30  80  7.0  9.0    MM    MM    MM  MM 1018.1  25.1  26.2  20.3   MM   MM    MM
2023 09 27 14 20  80  7.0  9.0   2.1     9   6.2  29 1018.0  25.1  26.2  20.8   MM   MM    MM
2023 09 27 14 10 100  7.0  9.0   2.1    MM   6.2  29 1018.0  25.1  26.2  20.7   MM   MM    MM
2023 09 27 14 00 110  7.0 10.0    MM    MM    MM  MM 1018.0  24.9  26.2  20.9   MM -1.1    MM
2023 09 27 13 50  90  7.0  9.0   1.9     6   5.9 104 1018.0  25.4  26.2  21.0   MM   MM    MM
2023 09 27 13 40  90  7.0  9.0    MM    MM    MM  MM 1018.0  25.3  26.2  20.9   MM   MM    MM
2023 09 27 13 30  90  7.0  9.0    MM    MM    MM  MM 1018.0  25.4  26.2  20.8   MM   MM    MM
2023 09 27 13 20  90  7.0  9.0   2.0     7   5.8 109 1018.0  25.5  26.2  20.8   MM   MM    MM
2023 09 27 13 10 100  7.0  9.0   2.0    MM   5.8 109 1018.1  25.5  26.2  20.5   MM   MM    MM
2023 09 27 13 00 100  8.0 10.0    MM    MM    MM  MM 1018.1  25.5  26.2  20.1   MM -1.7    MM
2023 09 27 12 50 100  8.0 10.0   2.2    10   6.1  13 1018.2  25.5  26.2  20.2   MM   MM    MM
2023 09 27 12 40 100  8.0 12.0    MM    MM    MM  MM 1018.2  25.5  26.2  20.1   MM   MM    MM
2023 09 27 12 30 100  9.0 11.0    MM    MM    MM  MM 1018.2  25.5  26.2  20.2   MM   MM    MM
2023 09 27 12 20 100  9.0 11.0   2.1     7   5.9 104 1018.3  25.5  26.2  20.2   MM   MM    MM
2023 09 27 12 10 100  8.0 10.0   2.1    MM   5.9 104 1018.5  25.5  26.2  20.5   MM   MM    MM
2023 09 27 12 00 100  9.0 11.0    MM    MM    MM  MM 1018.6  25.5  26.2  20.4   MM -1.4    MM
2023 09 27 11 50 100  8.0 10.0   2.1     9   5.9  13 1018.7  25.5  26.2  20.6   MM   MM    MM
2023 09 27 11 40 100  9.0 11.0   2.1    MM   5.9  13 1018.8  25.6  26.2  20.4   MM   MM    MM
2023 09 27 11 30 100  9.0 11.0    MM    MM    MM  MM 1018.9  25.6  26.2  20.2   MM   MM    MM
2023 09 27 11 20 100  9.0 11.0   2.0     6   5.8  93 1019.1  25.6  26.2  19.9   MM   MM    MM
2023 09 27 11 10 100  9.0 12.0   2.0    MM   5.8  93 1019.1  25.6  26.2  20.2   MM   MM    MM
2023 09 27 11 00 100  9.0 11.0    MM    MM    MM  MM 1019.1  25.6  26.2  20.1   MM -0.9    MM
2023 09 27 10 50 100  9.0 11.0   2.1     8   6.1  14 1019.1  25.6  26.2  20.2   MM   MM    MM
2023 09 27 10 40 100  9.0 12.0    MM    MM    MM  MM 1019.4  25.6  26.2  20.0   MM   MM    MM
2023 09 27 10 30 100  9.0 11.0    MM    MM    MM  MM 1019.5  25.6  26.2  20.0   MM   MM    MM
2023 09 27 10 20  90  9.0 11.0   2.1     9   5.9  45 1019.6  25.6  26.2  20.1   MM   MM    MM
2023 09 27 10 10  90  9.0 12.0   2.1    MM   5.9  45 1019.7  25.6  26.2  19.8   MM   MM    MM
2023 09 27 10 00 100  9.0 11.0    MM    MM    MM  MM 1019.8  25.7  26.2  19.7   MM +0.0    MM
2023 09 27 09 50  90  9.0 11.0   2.2     9   6.1   9 1019.8  25.6  26.2  19.5   MM   MM    MM
2023 09 27 09 40  90  9.0 11.0    MM    MM    MM  MM 1019.9  25.7  26.2  19.8   MM   MM    MM
2023 09 27 09 30 100  9.0 12.0    MM    MM    MM  MM 1019.9  25.7  26.2  19.6   MM   MM    MM
2023 09 27 09 20 100  9.0 12.0   2.1    10   5.9 353 1019.9  25.7  26.2  19.9   MM   MM    MM
2023 09 27 09 10  90  9.0 12.0   2.1    MM   5.9 353 1020.0  25.6  26.2  20.3   MM   MM    MM
2023 09 27 09 00  90  9.0 11.0    MM    MM    MM  MM 1020.0  25.6  26.2  20.3   MM +0.7    MM
2023 09 27 08 50  90  9.0 11.0   2.1     8   5.9  17 1020.0  25.7  26.2  20.5   MM   MM    MM
2023 09 27 08 40  90  9.0 11.0    MM    MM    MM  MM 1020.1  25.6  26.2  20.5   MM   MM    MM
2023 09 27 08 30  90  9.0 12.0    MM    MM    MM  MM 1019.9  25.6  26.2  20.6   MM   MM    MM
2023 09 27 08 20  90  9.0 12.0   2.1    10   5.9   8 1019.9  25.7  26.2  20.6   MM   MM    MM
2023 09 27 08 10  90 10.0 12.0   2.1    MM   5.9   8 1020.0  25.7  26.2  20.1   MM   MM    MM
2023 09 27 08 00  90  9.0 12.0    MM    MM    MM  MM 1020.0  25.7    MM  20.6   MM +1.5    MM
2023 09 27 07 50  90 10.0 12.0   2.0    10   5.9   7 1019.9  25.7  26.2  20.6   MM   MM    MM
