#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 24 14 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.1    MM    MM   MM +1.6    MM
2023 09 24 13 00  MM   MM   MM    MM    MM    MM  MM 1014.9  27.5    MM    MM   MM +2.0    MM
2023 09 24 12 00  MM   MM   MM    MM    MM    MM  MM 1014.2  26.7    MM    MM   MM +1.7    MM
2023 09 24 11 00  MM   MM   MM    MM    MM    MM  MM 1013.7  26.5    MM    MM   MM +1.3    MM
2023 09 24 10 00  MM   MM   MM    MM    MM    MM  MM 1012.9  26.5    MM    MM   MM -0.0    MM
2023 09 24 09 00  MM   MM   MM    MM    MM    MM  MM 1012.5  26.5    MM    MM   MM -0.6    MM
2023 09 24 08 00  MM   MM   MM    MM    MM    MM  MM 1012.4  26.5    MM    MM   MM -0.9    MM
2023 09 24 07 00  MM   MM   MM    MM    MM    MM  MM 1012.7  26.5    MM    MM   MM -1.2    MM
2023 09 24 06 00  MM   MM   MM    MM    MM    MM  MM 1013.1  26.4    MM    MM   MM -0.9    MM
2023 09 24 05 00  MM   MM   MM    MM    MM    MM  MM 1013.3  26.3    MM    MM   MM -0.3    MM
2023 09 24 04 00  MM   MM   MM    MM    MM    MM  MM 1013.9  26.3    MM    MM   MM +0.6    MM
2023 09 24 03 00  MM   MM   MM    MM    MM    MM  MM 1014.0  26.3    MM    MM   MM +1.3    MM
2023 09 24 02 00  MM   MM   MM    MM    MM    MM  MM 1013.6  26.1    MM    MM   MM +1.2    MM
2023 09 24 01 00  MM   MM   MM    MM    MM    MM  MM 1013.3  26.2    MM    MM   MM +1.1    MM
2023 09 24 00 00  MM   MM   MM    MM    MM    MM  MM 1012.7  26.3    MM    MM   MM +0.5    MM
2023 09 23 23 00  MM   MM   MM    MM    MM    MM  MM 1012.4  26.3    MM    MM   MM -0.3    MM
2023 09 23 22 00  MM   MM   MM    MM    MM    MM  MM 1012.2  26.1    MM    MM   MM -1.3    MM
2023 09 23 21 00  MM   MM   MM    MM    MM    MM  MM 1012.2  26.0    MM    MM   MM -2.0    MM
2023 09 23 20 00  MM   MM   MM    MM    MM    MM  MM 1012.7  26.0    MM    MM   MM -2.2    MM
2023 09 23 19 00  MM   MM   MM    MM    MM    MM  MM 1013.5  25.6    MM    MM   MM -1.8    MM
2023 09 23 18 00  MM   MM   MM    MM    MM    MM  MM 1014.2  25.4    MM    MM   MM -1.2    MM
2023 09 23 17 00  MM   MM   MM    MM    MM    MM  MM 1014.9  25.5    MM    MM   MM +0.0    MM
2023 09 23 16 00  MM   MM   MM    MM    MM    MM  MM 1015.3  25.4    MM    MM   MM +0.5    MM
2023 09 23 15 00  MM   MM   MM    MM    MM    MM  MM 1015.4  25.5    MM    MM   MM +1.0    MM
2023 09 23 14 00  MM   MM   MM    MM    MM    MM  MM 1015.1  25.6    MM    MM   MM +1.4    MM
2023 09 23 13 00  MM   MM   MM    MM    MM    MM  MM 1014.8  25.7    MM    MM   MM +1.5    MM
2023 09 23 12 00  MM   MM   MM    MM    MM    MM  MM 1014.4  25.8    MM    MM   MM +1.0    MM
2023 09 23 11 00  MM   MM   MM    MM    MM    MM  MM 1013.7  25.9    MM    MM   MM -0.0    MM
2023 09 23 10 00  MM   MM   MM    MM    MM    MM  MM 1013.3  26.1    MM    MM   MM -0.5    MM
2023 09 23 09 00  MM   MM   MM    MM    MM    MM  MM 1013.4  26.1    MM    MM   MM -0.6    MM
2023 09 23 08 00  MM   MM   MM    MM    MM    MM  MM 1013.6  26.1    MM    MM   MM -0.7    MM
2023 09 23 07 00  MM   MM   MM    MM    MM    MM  MM 1013.8  26.4    MM    MM   MM -0.6    MM
2023 09 23 06 00  MM   MM   MM    MM    MM    MM  MM 1014.0  26.7    MM    MM   MM -0.6    MM
2023 09 23 05 00  MM   MM   MM    MM    MM    MM  MM 1014.3  26.9    MM    MM   MM +0.0    MM
2023 09 23 04 00  MM   MM   MM    MM    MM    MM  MM 1014.4  26.8    MM    MM   MM +0.0    MM
2023 09 23 03 00  MM   MM   MM    MM    MM    MM  MM 1014.6  27.1    MM    MM   MM +0.7    MM
2023 09 23 02 00  MM   MM   MM    MM    MM    MM  MM 1014.5  27.6    MM    MM   MM +0.7    MM
2023 09 23 01 00  MM   MM   MM    MM    MM    MM  MM 1014.4  27.3    MM    MM   MM +0.5    MM
2023 09 23 00 00  MM   MM   MM    MM    MM    MM  MM 1013.9  27.1    MM    MM   MM -0.4    MM
2023 09 22 23 00  MM   MM   MM    MM    MM    MM  MM 1013.8  27.3    MM    MM   MM -1.1    MM
2023 09 22 22 00  MM   MM   MM    MM    MM    MM  MM 1013.9  27.2    MM    MM   MM -1.0    MM
2023 09 22 21 00  MM   MM   MM    MM    MM    MM  MM 1014.3  26.4    MM    MM   MM -1.2    MM
2023 09 22 20 00  MM   MM   MM    MM    MM    MM  MM 1014.9  25.9    MM    MM   MM -1.4    MM
2023 09 22 19 00  MM   MM   MM    MM    MM    MM  MM 1014.9  25.6    MM    MM   MM -1.8    MM
2023 09 22 18 00  MM   MM   MM    MM    MM    MM  MM 1015.5  25.2    MM    MM   MM -1.3    MM
2023 09 22 17 00  MM   MM   MM    MM    MM    MM  MM 1016.3  24.9    MM    MM   MM -0.3    MM
2023 09 22 16 00  MM   MM   MM    MM    MM    MM  MM 1016.7  24.7    MM    MM   MM +0.0    MM
2023 09 22 15 00  MM   MM   MM    MM    MM    MM  MM 1016.8  24.6    MM    MM   MM +0.6    MM
2023 09 22 14 00  MM   MM   MM    MM    MM    MM  MM 1016.6  24.9    MM    MM   MM +0.9    MM
2023 09 22 13 00  MM   MM   MM    MM    MM    MM  MM 1016.5  24.9    MM    MM   MM +1.1    MM
2023 09 22 12 00  MM   MM   MM    MM    MM    MM  MM 1016.2  25.1    MM    MM   MM +1.0    MM
2023 09 22 11 00  MM   MM   MM    MM    MM    MM  MM 1015.7  25.2    MM    MM   MM +0.8    MM
2023 09 22 10 00  MM   MM   MM    MM    MM    MM  MM 1015.4  25.5    MM    MM   MM +0.4    MM
2023 09 22 09 00  MM   MM   MM    MM    MM    MM  MM 1015.2  25.7    MM    MM   MM -0.0    MM
2023 09 22 08 00  MM   MM   MM    MM    MM    MM  MM 1014.9  26.2    MM    MM   MM -0.6    MM
2023 09 22 07 00  MM   MM   MM    MM    MM    MM  MM 1015.0  26.4    MM    MM   MM -0.6    MM
2023 09 22 06 00  MM   MM   MM    MM    MM    MM  MM 1015.1  26.6    MM    MM   MM -1.1    MM
2023 09 22 05 00  MM   MM   MM    MM    MM    MM  MM 1015.5  26.9    MM    MM   MM -0.4    MM
2023 09 22 04 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.4    MM    MM   MM +0.0    MM
2023 09 22 03 00  MM   MM   MM    MM    MM    MM  MM 1016.2  27.1    MM    MM   MM +0.4    MM
2023 09 22 02 00  MM   MM   MM    MM    MM    MM  MM 1015.9  28.3    MM    MM   MM +0.5    MM
2023 09 22 01 00  MM   MM   MM    MM    MM    MM  MM 1015.6  26.9    MM    MM   MM +0.0    MM
2023 09 22 00 00  MM   MM   MM    MM    MM    MM  MM 1015.8  27.8    MM    MM   MM +0.3    MM
2023 09 21 23 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.8    MM    MM   MM -0.7    MM
2023 09 21 22 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.7    MM    MM   MM -0.9    MM
2023 09 21 21 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.3    MM    MM   MM -1.6    MM
2023 09 21 20 00  MM   MM   MM    MM    MM    MM  MM 1016.1  27.0    MM    MM   MM -1.5    MM
2023 09 21 19 00  MM   MM   MM    MM    MM    MM  MM 1016.4  27.2    MM    MM   MM -1.7    MM
2023 09 21 18 00  MM   MM   MM    MM    MM    MM  MM 1017.1  26.8    MM    MM   MM -0.7    MM
2023 09 21 17 00  MM   MM   MM    MM    MM    MM  MM 1017.6  26.3    MM    MM   MM +0.6    MM
2023 09 21 16 00  MM   MM   MM    MM    MM    MM  MM 1018.1  26.1    MM    MM   MM +1.0    MM
2023 09 21 15 00  MM   MM   MM    MM    MM    MM  MM 1017.8  26.4    MM    MM   MM +1.2    MM
2023 09 21 14 00  MM   MM   MM    MM    MM    MM  MM 1017.0  26.5    MM    MM   MM +0.8    MM
2023 09 21 13 00  MM   MM   MM    MM    MM    MM  MM 1017.1  26.6    MM    MM   MM +1.8    MM
2023 09 21 12 00  MM   MM   MM    MM    MM    MM  MM 1016.6  26.5    MM    MM   MM +1.6    MM
2023 09 21 11 00  MM   MM   MM    MM    MM    MM  MM 1016.2  27.0    MM    MM   MM +0.9    MM
2023 09 21 10 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.0    MM    MM   MM -0.0    MM
2023 09 21 09 00  MM   MM   MM    MM    MM    MM  MM 1015.0  27.2    MM    MM   MM -0.3    MM
2023 09 21 08 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.3    MM    MM   MM -0.4    MM
2023 09 21 07 00  MM   MM   MM    MM    MM    MM  MM 1015.1  27.0    MM    MM   MM -0.9    MM
2023 09 21 06 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.0    MM    MM   MM -1.0    MM
2023 09 21 05 00  MM   MM   MM    MM    MM    MM  MM 1015.7  27.6    MM    MM   MM -0.8    MM
2023 09 21 04 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.4    MM    MM   MM +0.4    MM
2023 09 21 03 00  MM   MM   MM    MM    MM    MM  MM 1016.3  27.3    MM    MM   MM +0.7    MM
2023 09 21 02 00  MM   MM   MM    MM    MM    MM  MM 1016.5  27.8    MM    MM   MM +1.1    MM
2023 09 21 01 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.8    MM    MM   MM +0.5    MM
2023 09 21 00 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.8    MM    MM   MM +0.7    MM
2023 09 20 23 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.6    MM    MM   MM -0.0    MM
2023 09 20 22 00  MM   MM   MM    MM    MM    MM  MM 1015.1  27.6    MM    MM   MM +0.3    MM
2023 09 20 21 00  MM   MM   MM    MM    MM    MM  MM 1014.9  27.6    MM    MM   MM -2.4    MM
2023 09 20 20 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.1    MM    MM   MM -2.6    MM
2023 09 20 19 00  MM   MM   MM    MM    MM    MM  MM 1014.8  26.8    MM    MM   MM -2.4    MM
2023 09 20 18 00  MM   MM   MM    MM    MM    MM  MM 1017.3  25.6    MM    MM   MM +0.9    MM
2023 09 20 17 00  MM   MM   MM    MM    MM    MM  MM 1018.0  27.5    MM    MM   MM +1.4    MM
2023 09 20 16 00  MM   MM   MM    MM    MM    MM  MM 1017.2  27.6    MM    MM   MM +1.2    MM
2023 09 20 15 00  MM   MM   MM    MM    MM    MM  MM 1016.4  27.4    MM    MM   MM +0.8    MM
2023 09 20 14 00  MM   MM   MM    MM    MM    MM  MM 1016.6  27.4    MM    MM   MM +1.3    MM
2023 09 20 13 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.4    MM    MM   MM +1.0    MM
2023 09 20 12 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.2    MM    MM   MM +0.6    MM
2023 09 20 11 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.6    MM    MM   MM -0.0    MM
2023 09 20 10 00  MM   MM   MM    MM    MM    MM  MM 1015.0  27.7    MM    MM   MM -0.5    MM
2023 09 20 09 00  MM   MM   MM    MM    MM    MM  MM 1015.0  28.0    MM    MM   MM -0.5    MM
2023 09 20 08 00  MM   MM   MM    MM    MM    MM  MM 1015.2  28.1    MM    MM   MM -1.0    MM
2023 09 20 07 00  MM   MM   MM    MM    MM    MM  MM 1015.5  28.2    MM    MM   MM -1.2    MM
2023 09 20 06 00  MM   MM   MM    MM    MM    MM  MM 1015.5  28.0    MM    MM   MM -1.1    MM
2023 09 20 05 00  MM   MM   MM    MM    MM    MM  MM 1016.2  28.1    MM    MM   MM -0.4    MM
2023 09 20 04 00  MM   MM   MM    MM    MM    MM  MM 1016.7  28.1    MM    MM   MM +0.5    MM
2023 09 20 03 00  MM   MM   MM    MM    MM    MM  MM 1016.6  28.2    MM    MM   MM +0.8    MM
2023 09 20 02 00  MM   MM   MM    MM    MM    MM  MM 1016.6  28.2    MM    MM   MM +1.1    MM
2023 09 20 01 00  MM   MM   MM    MM    MM    MM  MM 1016.2  28.0    MM    MM   MM +1.0    MM
2023 09 20 00 00  MM   MM   MM    MM    MM    MM  MM 1015.8  27.9    MM    MM   MM +0.7    MM
2023 09 19 23 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.7    MM    MM   MM -0.0    MM
2023 09 19 22 00  MM   MM   MM    MM    MM    MM  MM 1015.2  27.4    MM    MM   MM -0.6    MM
2023 09 19 21 00  MM   MM   MM    MM    MM    MM  MM 1015.1  27.1    MM    MM   MM -1.5    MM
2023 09 19 20 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.0    MM    MM   MM -1.6    MM
2023 09 19 19 00  MM   MM   MM    MM    MM    MM  MM 1015.8  26.7    MM    MM   MM -1.5    MM
2023 09 19 18 00  MM   MM   MM    MM    MM    MM  MM 1016.6  26.6    MM    MM   MM -0.8    MM
2023 09 19 17 00  MM   MM   MM    MM    MM    MM  MM 1017.0  26.6    MM    MM   MM -0.4    MM
2023 09 19 16 00  MM   MM   MM    MM    MM    MM  MM 1017.3  26.6    MM    MM   MM +0.6    MM
2023 09 19 15 00  MM   MM   MM    MM    MM    MM  MM 1017.4  26.6    MM    MM   MM +1.2    MM
2023 09 19 14 00  MM   MM   MM    MM    MM    MM  MM 1017.4  26.9    MM    MM   MM +1.7    MM
2023 09 19 13 00  MM   MM   MM    MM    MM    MM  MM 1016.7  27.0    MM    MM   MM +1.2    MM
